T,current_km,best_km
4999.9975,317069.117305,317069.117305
4995.00000042,296293.626219,267848.968051
4990.00749584,309939.689931,264470.26544
4985.01998127,319371.973431,264470.26544
4980.03745172,333495.725641,264470.26544
4975.05990222,290456.851062,264470.26544
4970.08732777,297312.051075,264470.26544
4965.11972342,283071.495621,264470.26544
4960.15708419,303238.94856,264470.26544
4955.19940512,297018.034164,264470.26544
4950.24668125,281527.732385,264470.26544
4945.29890763,305746.776691,264470.26544
4940.35607931,315076.490593,264470.26544
4935.41819136,295046.494106,264470.26544
4930.48523882,300865.416668,264470.26544
4925.55721677,287270.733528,262821.970651
4920.63412028,298473.135681,262821.970651
4915.71594443,291407.103164,262821.970651
4910.8026843,300740.400649,262821.970651
4905.89433497,299755.088258,262821.970651
4900.99089154,317576.14542,262821.970651
4896.0923491,291023.432243,262821.970651
4891.19870276,312896.949234,262821.970651
4886.30994762,303863.760191,262821.970651
4881.4260788,285266.506094,262821.970651
4876.5470914,301690.145167,262821.970651
4871.67298055,308243.934921,262821.970651
4866.80374138,303650.739085,262821.970651
4861.93936901,290228.597322,262821.970651
4857.07985859,294426.036086,262821.970651
4852.22520525,287035.075779,262821.970651
4847.37540414,320191.212298,256002.927128
4842.5304504,311094.977609,256002.927128
4837.6903392,288111.068146,256002.927128
4832.85506569,301502.637261,256002.927128
4828.02462504,310269.788881,256002.927128
4823.19901242,296570.522059,256002.927128
4818.378223,309531.807965,256002.927128
4813.56225196,304181.491928,256002.927128
4808.75109449,289411.964051,256002.927128
4803.94474576,288487.57383,256002.927128
4799.14320099,323091.400136,256002.927128
4794.34645536,301908.710701,256002.927128
4789.55450409,308039.325582,256002.927128
4784.76734237,286954.836624,256002.927128
4779.98496541,316011.952336,256002.927128
4775.20736845,310587.739361,256002.927128
4770.4345467,296206.712222,256002.927128
4765.66649538,290466.78134,256002.927128
4760.90320974,298668.629421,256002.927128
4756.144685,296313.388015,256002.927128
4751.39091641,284827.090312,256002.927128
4746.64189921,283987.771575,255450.653913
4741.89762865,301569.556948,254651.87093
4737.1581,291099.849335,254651.87093
4732.42330851,306765.73056,254651.87093
4727.69324944,297756.319733,254651.87093
4722.96791807,297053.489867,254651.87093
4718.24730967,315381.724931,254651.87093
4713.53141952,289636.717218,254651.87093
4708.8202429,284362.20484,254651.87093
4704.11377511,299640.441535,254651.87093
4699.41201143,303007.0381,254651.87093
4694.71494717,292266.803886,254651.87093
4690.02257763,287538.36983,254651.87093
4685.33489811,279732.887839,254651.87093
4680.65190393,303578.06705,254651.87093
4675.9735904,282501.603485,254651.87093
4671.29995285,306251.411028,254651.87093
4666.6309866,284231.658556,254651.87093
4661.96668699,285669.769577,254651.87093
4657.30704934,289507.934325,254651.87093
4652.65206901,299835.002412,254651.87093
4648.00174133,303820.046086,254651.87093
4643.35606165,297157.424971,254651.87093
4638.71502534,312960.377182,254651.87093
4634.07862774,282560.607433,254651.87093
4629.44686422,284824.071466,254651.87093
4624.81973015,315775.72766,254651.87093
4620.19722091,302479.463301,254651.87093
4615.57933186,303309.493278,254651.87093
4610.9660584,307253.768847,254651.87093
4606.3573959,284828.160518,249507.551176
4601.75333977,297494.498816,249507.551176
4597.15388539,296402.915223,249507.551176
4592.55902817,279883.501322,249507.551176
4587.96876351,305096.791102,249507.551176
4583.38308682,292887.709163,249507.551176
4578.80199351,299668.008755,249507.551176
4574.22547902,293683.094679,249507.551176
4569.65353874,299924.206909,249507.551176
4565.08616813,282236.588851,249507.551176
4560.5233626,308985.196193,249507.551176
4555.96511761,317496.133512,249507.551176
4551.41142857,299753.5363,249507.551176
4546.86229096,302183.894481,249507.551176
4542.3177002,323223.35438,249507.551176
4537.77765177,305930.39396,249507.551176
4533.24214112,275881.476598,249507.551176
4528.71116371,303830.654082,249507.551176
4524.18471502,296612.260984,249507.551176
4519.66279051,306331.409904,249507.551176
4515.14538567,300100.172216,249507.551176
4510.63249598,276791.866984,249507.551176
4506.12411692,309799.071294,249507.551176
4501.62024399,301591.873345,249507.551176
4497.12087268,298218.257947,249507.551176
4492.6259985,308812.229104,249507.551176
4488.13561694,317655.656865,249507.551176
4483.64972353,308278.196967,249507.551176
4479.16831376,322885.904141,249507.551176
4474.69138317,304251.471929,249507.551176
4470.21892727,279484.697039,249507.551176
4465.75094159,307886.515252,249507.551176
4461.28742166,307273.345844,249507.551176
4456.82836303,305366.135053,249507.551176
4452.37376122,292986.086695,249507.551176
4447.92361179,286345.092251,249507.551176
4443.47791029,300945.959218,249507.551176
4439.03665227,290553.625022,249507.551176
4434.59983329,304251.322316,249507.551176
4430.16744891,282845.408864,249507.551176
4425.7394947,303783.575004,249507.551176
4421.31596623,305618.076132,249507.551176
4416.89685909,300836.911026,249507.551176
4412.48216884,296322.648956,249507.551176
4408.07189107,296112.679204,249507.551176
4403.66602138,296081.067827,249507.551176
4399.26455536,294706.934319,249507.551176
4394.8674886,297035.336192,249507.551176
4390.47481672,323665.267777,249507.551176
4386.08653531,297504.986016,249507.551176
4381.70264,296144.297886,249507.551176
4377.32312638,286380.571945,249507.551176
4372.9479901,309131.885644,249507.551176
4368.57722676,300981.349809,249507.551176
4364.210832,298461.112097,249507.551176
4359.84880146,300094.720109,249507.551176
4355.49113077,288979.616504,249507.551176
4351.13781557,283708.320881,249507.551176
4346.78885151,293158.05785,249507.551176
4342.44423424,301132.663809,249507.551176
4338.10395942,291185.312596,249507.551176
4333.76802271,280555.6095,249507.551176
4329.43641977,311810.672159,249507.551176
4325.10914626,305012.863241,249507.551176
4320.78619787,305490.415409,249507.551176
4316.46757027,299537.853218,249507.551176
4312.15325914,297378.275226,249507.551176
4307.84326016,306683.216232,249507.551176
4303.53756903,299970.884316,249507.551176
4299.23618143,291797.205061,249507.551176
4294.93909308,305926.741631,249507.551176
4290.64629967,282366.641685,249507.551176
4286.35779691,273377.052023,249507.551176
4282.0735805,290263.028352,249507.551176
4277.79364618,288366.043706,249507.551176
4273.51798965,317511.805487,249507.551176
4269.24660664,280963.7209,249507.551176
4264.97949288,305737.654492,249507.551176
4260.7166441,309586.915109,249507.551176
4256.45805604,283552.921296,249507.551176
4252.20372444,308595.074805,249507.551176
4247.95364505,280729.206775,249507.551176
4243.70781361,291116.679876,249507.551176
4239.46622588,293183.545109,249507.551176
4235.22887763,292437.84014,249507.551176
4230.9957646,290208.365839,249507.551176
4226.76688257,297002.793276,249507.551176
4222.54222731,302071.823877,249507.551176
4218.3217946,295494.335813,249507.551176
4214.10558021,282612.761136,249507.551176
4209.89357993,297098.729762,249507.551176
4205.68578954,282534.015454,249507.551176
4201.48220485,304466.60741,249507.551176
4197.28282163,287930.446931,249507.551176
4193.08763571,293538.300566,249507.551176
4188.89664287,276220.351896,249507.551176
