T,current_km,best_km
17002.636761,10189323.8585,10187617.6373
16975.0550231,10724131.9803,10187617.6373
16947.5180285,10966973.0233,10187617.6373
16920.0257045,10876660.0973,10187617.6373
16892.5779786,10669043.5085,10187617.6373
16865.1747785,10949935.776,10187617.6373
16837.816032,10953221.6721,10187617.6373
16810.5016669,11227377.2868,10187617.6373
16783.2316113,11057185.03,10187617.6373
16756.0057932,11183699.2127,10187617.6373
16728.824141,11102897.6183,10187617.6373
16701.686583,10899632.2965,10187617.6373
16674.5930476,10803720.5908,10187617.6373
16647.5434635,10843333.6167,10187617.6373
16620.5377592,10569741.4117,10187617.6373
16593.5758637,10834131.2473,10187617.6373
16566.6577059,10865433.507,10187617.6373
16539.7832149,10948585.6176,10187617.6373
16512.9523197,11103814.6209,10187617.6373
16486.1649497,11082949.033,10187617.6373
16459.4210343,10981278.7637,10187617.6373
16432.7205029,11078202.2494,10187617.6373
16406.0632853,10875365.4491,10187617.6373
16379.449311,10945494.8111,10187617.6373
16352.8785101,10998591.109,10187617.6373
16326.3508124,11097257.8228,10187617.6373
16299.866148,10944632.8796,10187617.6373
16273.4244472,10768916.7095,10187617.6373
16247.0256401,10756878.1476,10187617.6373
16220.6696573,10615361.7941,10187617.6373
16194.3564293,10904009.18,10187617.6373
16168.0858867,11110852.2635,10187617.6373
16141.8579603,10848528.0412,10187617.6373
16115.6725809,11017358.5795,10187617.6373
16089.5296795,11002690.1402,10187617.6373
16063.4291872,10932304.2076,10187617.6373
16037.3710352,11031442.7575,10187617.6373
16011.3551549,10966054.4324,10187617.6373
15985.3814776,10980340.5384,10187617.6373
15959.4499349,10515417.2703,10187617.6373
15933.5604584,10637867.6109,10187617.6373
15907.7129799,10796501.9594,10187617.6373
15881.9074314,11004134.0407,10187617.6373
15856.1437446,11018102.1639,10187617.6373
15830.4218518,10935271.1218,10187617.6373
15804.7416852,10875979.7485,10187617.6373
15779.103177,10859827.8844,10187617.6373
15753.5062597,10973401.0187,10187617.6373
15727.9508658,11016940.4898,10187617.6373
15702.4369279,10782101.2131,10187617.6373
15676.9643789,10832174.8005,10187617.6373
15651.5331515,10994403.8117,10187617.6373
15626.1431787,11074353.6504,10187617.6373
15600.7943937,10998054.398,10187617.6373
15575.4867295,10980527.7311,10187617.6373
15550.2201195,11162345.5956,10187617.6373
15524.9944971,10837084.2336,10187617.6373
15499.8097958,11018676.156,10187617.6373
15474.6659493,10902008.6261,10187617.6373
15449.5628911,10935607.2453,10187617.6373
15424.5005552,11105638.7759,10187617.6373
15399.4788755,10869218.0857,10187617.6373
15374.4977861,10493703.5071,10187617.6373
15349.5572211,10960361.687,10187617.6373
15324.6571148,11013996.3506,10187617.6373
15299.7974015,10991297.0598,10187617.6373
15274.9780157,10810430.9088,10187617.6373
15250.198892,10959852.5041,10187617.6373
15225.4599651,10944284.6173,10187617.6373
15200.7611698,10922945.5102,10187617.6373
15176.102441,10644364.3634,10187617.6373
15151.4837136,10938258.8992,10187617.6373
15126.9049228,11013414.9421,10187617.6373
15102.3660038,10923555.0147,10187617.6373
15077.866892,11089587.2151,10187617.6373
15053.4075227,10813715.4841,10187617.6373
15028.9878314,11057130.9477,10187617.6373
15004.6077539,10759827.3809,10187617.6373
14980.2672258,10731929.7605,10187617.6373
14955.9661831,10707772.4878,10187617.6373
14931.7045615,10748985.1595,10187617.6373
14907.4822972,10752423.4066,10187617.6373
14883.2993264,11022949.9019,10187617.6373
14859.1555853,10660685.4784,10187617.6373
14835.0510103,10917734.1618,10187617.6373
14810.9855377,10865197.2231,10187617.6373
14786.9591043,10731259.2569,10187617.6373
14762.9716466,11216626.6415,10187617.6373
14739.0231015,10921782.6118,10187617.6373
14715.1134058,10693668.5387,10187617.6373
14691.2424965,10718793.0033,10187617.6373
14667.4103106,10751561.449,10187617.6373
14643.6167855,10830738.7843,10187617.6373
14619.8618582,10577134.1888,10187617.6373
14596.1454663,10785422.4372,10187617.6373
14572.4675472,10727040.8501,10187617.6373
14548.8280385,10626890.4979,10187617.6373
14525.2268779,10909322.3862,10187617.6373
14501.6640032,11108052.1934,10187617.6373
14478.1393522,11008589.2202,10187617.6373
14454.6528631,11099659.0164,10187617.6373
14431.2044738,10870700.6531,10187617.6373
14407.7941225,10924306.4046,10187617.6373
14384.4217477,10869456.4948,10187617.6373
14361.0872875,10896350.8061,10187617.6373
14337.7906806,10757136.6061,10187617.6373
14314.5318656,10767724.7288,10187617.6373
14291.3107811,10910878.7078,10187617.6373
14268.1273659,10694842.9185,10187617.6373
14244.9815589,10576540.8728,10187617.6373
14221.8732992,10682021.0937,10187617.6373
14198.8025257,10886749.9487,10187617.6373
14175.7691777,10835335.3789,10187617.6373
14152.7731945,10818041.1515,10187617.6373
14129.8145155,10765086.6913,10187617.6373
14106.8930801,10597553.6031,10187617.6373
14084.008828,10796307.0232,10187617.6373
14061.1616988,10877589.0503,10187617.6373
14038.3516322,10906411.8642,10187617.6373
14015.5785683,10640914.3343,10187617.6373
13992.8424469,10951662.9845,10187617.6373
13970.1432081,10792784.6297,10187617.6373
13947.4807921,10557362.3786,10187617.6373
13924.8551391,10832516.2486,10187617.6373
13902.2661896,10779981.1663,10187617.6373
13879.7138839,10593211.5881,10187617.6373
13857.1981626,10542022.6776,10187617.6373
13834.7189665,10651524.8995,10187617.6373
13812.2762362,10834425.0468,10187617.6373
13789.8699125,10913801.0915,10187617.6373
13767.4999365,10627726.1298,10187617.6373
13745.1662491,10553106.2913,10187617.6373
13722.8687915,10724671.4197,10187617.6373
13700.6075049,10838782.4204,10187617.6373
13678.3823307,10784644.9639,10187617.6373
13656.1932102,10884327.2696,10187617.6373
13634.040085,10860682.6429,10187617.6373
13611.9228967,10854574.0838,10187617.6373
13589.8415869,10718629.7089,10187617.6373
