critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
g++ -O3 -std=c++17 -Wall -Wextra -o datareader datareader.cpp
g++ -O3 -std=c++17 -Wall -Wextra -o sales sales.cpp
Read 150 cities from data file
Initial distance (km): 317298.645290
step 0  T=4999.998  best=317298.645
step 200000  T=4524.185  best=248836.092
step 400000  T=4093.652  best=246144.514
step 600000  T=3704.089  best=246144.514
step 800000  T=3351.598  best=243696.853
step 1000000  T=3032.651  best=242763.132
step 1200000  T=2744.056  best=236934.361
step 1400000  T=2482.925  best=227509.118
step 1600000  T=2246.643  best=227509.118
step 1800000  T=2032.847  best=214739.187
step 2000000  T=1839.396  best=207811.652
step 2200000  T=1664.354  best=195659.192
step 2400000  T=1505.970  best=194636.805
step 2600000  T=1362.658  best=183113.834
step 2800000  T=1232.984  best=183113.834
step 3000000  T=1115.650  best=165725.328
step 3200000  T=1009.482  best=164491.712
step 3400000  T=913.417  best=154270.093
step 3600000  T=826.494  best=150446.006
step 3800000  T=747.842  best=141318.637
step 4000000  T=676.676  best=131238.049
step 4200000  T=612.282  best=128632.059
step 4400000  T=554.015  best=119883.355
step 4600000  T=501.294  best=116767.520
step 4800000  T=453.589  best=106874.582
step 5000000  T=410.425  best=100485.801
step 5200000  T=371.367  best=95080.052
step 5400000  T=336.027  best=91296.200
step 5600000  T=304.050  best=85159.172
step 5800000  T=275.116  best=80831.817
step 6000000  T=248.935  best=75520.396
step 6200000  T=225.246  best=71354.825
step 6400000  T=203.811  best=69904.108
step 6600000  T=184.416  best=67495.996
step 6800000  T=166.866  best=60558.343
step 7000000  T=150.987  best=60558.343
step 7200000  T=136.618  best=59996.295
step 7400000  T=123.617  best=55440.419
step 7600000  T=111.854  best=55370.641
step 7800000  T=101.209  best=53630.456
step 8000000  T=91.578  best=52752.049
step 8200000  T=82.863  best=51064.051
step 8400000  T=74.978  best=51002.282
step 8600000  T=67.843  best=49875.507
step 8800000  T=61.387  best=49564.917
step 9000000  T=55.545  best=49216.760
step 9200000  T=50.259  best=48808.877
step 9400000  T=45.476  best=48458.212
step 9600000  T=41.149  best=48458.212
step 9800000  T=37.233  best=48307.295
step 10000000  T=33.690  best=48051.399
step 10200000  T=30.484  best=48051.399
step 10400000  T=27.583  best=48051.399
step 10600000  T=24.958  best=48027.565
step 10800000  T=22.583  best=48027.565
step 11000000  T=20.434  best=48027.565
step 11200000  T=18.489  best=48027.565
step 11400000  T=16.730  best=48027.565
step 11600000  T=15.138  best=48027.565
step 11800000  T=13.697  best=48027.565
Best distance (km):    48027.565
Runtime (s):           131.128
Wrote route:           route150.dat
Wrote schedule:        an150.csv
done
