critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
make: Nothing to be done for 'default'.
Read 150 cities from data file
Initial distance (km): 317298.645290
step 0  T=4999.998  best=317298.645
step 200000  T=4524.185  best=254421.651
step 400000  T=4093.652  best=253121.713
step 600000  T=3704.089  best=247764.463
step 800000  T=3351.598  best=238662.621
step 1000000  T=3032.651  best=238236.790
step 1200000  T=2744.056  best=236308.366
step 1400000  T=2482.925  best=228076.563
step 1600000  T=2246.643  best=212270.070
step 1800000  T=2032.847  best=212270.070
step 2000000  T=1839.396  best=212270.070
step 2200000  T=1664.354  best=207801.785
step 2400000  T=1505.970  best=202085.031
step 2600000  T=1362.658  best=184447.234
step 2800000  T=1232.984  best=181540.458
step 3000000  T=1115.650  best=172663.394
step 3200000  T=1009.482  best=164429.074
step 3400000  T=913.417  best=156371.335
step 3600000  T=826.494  best=148954.307
step 3800000  T=747.842  best=141232.433
step 4000000  T=676.676  best=134778.296
step 4200000  T=612.282  best=128742.010
step 4400000  T=554.015  best=120148.770
step 4600000  T=501.294  best=112896.356
step 4800000  T=453.589  best=106119.354
step 5000000  T=410.425  best=98965.547
step 5200000  T=371.367  best=97071.960
step 5400000  T=336.027  best=89820.114
step 5600000  T=304.050  best=85329.427
step 5800000  T=275.116  best=81000.420
step 6000000  T=248.935  best=73899.614
step 6200000  T=225.246  best=73377.854
step 6400000  T=203.811  best=68660.664
step 6600000  T=184.416  best=65181.879
step 6800000  T=166.866  best=64078.493
step 7000000  T=150.987  best=60113.924
step 7200000  T=136.618  best=59964.916
step 7400000  T=123.617  best=57296.598
step 7600000  T=111.854  best=55672.915
step 7800000  T=101.209  best=51882.560
step 8000000  T=91.578  best=51882.560
step 8200000  T=82.863  best=51709.851
step 8400000  T=74.978  best=50129.654
step 8600000  T=67.843  best=49424.366
step 8800000  T=61.387  best=48987.453
step 9000000  T=55.545  best=48987.453
step 9200000  T=50.259  best=48987.453
step 9400000  T=45.476  best=48530.741
step 9600000  T=41.149  best=48530.741
step 9800000  T=37.233  best=48450.703
step 10000000  T=33.690  best=48406.779
step 10200000  T=30.484  best=48220.886
step 10400000  T=27.583  best=48220.886
step 10600000  T=24.958  best=48220.886
step 10800000  T=22.583  best=48220.886
step 11000000  T=20.434  best=48220.886
step 11200000  T=18.489  best=48220.886
step 11400000  T=16.730  best=48220.886
step 11600000  T=15.138  best=48220.886
step 11800000  T=13.697  best=48085.336
Best distance (km):    48080.389
Runtime (s):           128.319
Wrote route:           route150.dat
Wrote schedule:        an150.csv
done
