critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
make: Nothing to be done for 'default'.
Read 150 cities from data file
Auto T0 (km): 4066.42  (probe moves=3000)
Initial distance (km): 317298.645290
step 0  T=4066.414  best=317298.645
step 200000  T=3540.446  best=242991.346
step 400000  T=3082.510  best=237703.039
step 600000  T=2683.805  best=235860.938
step 800000  T=2336.670  best=231829.020
step 1000000  T=2034.435  best=221646.140
step 1200000  T=1771.293  best=209484.851
step 1400000  T=1542.186  best=200123.274
step 1600000  T=1342.713  best=185958.158
step 1800000  T=1169.041  best=170437.737
step 2000000  T=1017.832  best=160023.835
step 2200000  T=886.182  best=157894.486
step 2400000  T=771.559  best=143136.210
step 2600000  T=671.762  best=132149.425
step 2800000  T=584.874  best=120701.398
step 3000000  T=509.224  best=110797.450
step 3200000  T=443.359  best=104869.280
step 3400000  T=386.013  best=98001.821
step 3600000  T=336.084  best=89637.486
step 3800000  T=292.614  best=84213.246
step 4000000  T=254.766  best=78225.694
step 4200000  T=221.813  best=75276.987
step 4400000  T=193.123  best=67894.236
step 4600000  T=168.144  best=64754.361
step 4800000  T=146.395  best=61286.951
step 5000000  T=127.460  best=57981.887
step 5200000  T=110.974  best=56920.347
step 5400000  T=96.620  best=52354.491
step 5600000  T=84.123  best=52037.463
step 5800000  T=73.242  best=50110.023
step 6000000  T=63.768  best=49269.071
step 6200000  T=55.520  best=49269.071
step 6400000  T=48.339  best=48184.739
step 6600000  T=42.087  best=48141.857
step 6800000  T=36.643  best=48141.857
step 7000000  T=31.903  best=48130.920
step 7200000  T=27.777  best=47986.232
step 7400000  T=24.184  best=47986.232
step 7600000  T=21.056  best=47980.382
step 7800000  T=18.333  best=47980.382
step 8000000  T=15.961  best=47955.310
step 8200000  T=13.897  best=47910.679
step 8400000  T=12.099  best=47910.679
step 8600000  T=10.534  best=47910.679
step 8800000  T=9.172  best=47910.679
step 9000000  T=7.986  best=47910.679
step 9200000  T=6.953  best=47910.679
step 9400000  T=6.053  best=47910.679
step 9600000  T=5.270  best=47910.679
step 9800000  T=4.589  best=47910.679
step 10000000  T=3.995  best=47910.679
step 10200000  T=3.478  best=47910.679
step 10400000  T=3.029  best=47910.679
step 10600000  T=2.637  best=47910.679
step 10800000  T=2.296  best=47910.679
step 11000000  T=1.999  best=47910.679
step 11200000  T=1.740  best=47910.679
step 11400000  T=1.515  best=47910.679
step 11600000  T=1.319  best=47910.679
step 11800000  T=1.149  best=47910.679
Best distance (km):    47910.679
Runtime (s):           118.685
Wrote route:           route150.dat
Wrote schedule:        an150.csv
done
