critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
g++ -O3 -std=c++17 -Wall -Wextra -o sales sales.cpp
Read 150 cities from data file
Auto T0 (km): 3913.46  (probe moves=3000)
Initial distance (km): 317298.645290
step 0  T=3913.454  best=317298.645
step 200000  T=3409.449  best=249936.049
step 400000  T=2970.354  best=241307.889
step 600000  T=2587.809  best=233778.729
step 800000  T=2254.531  best=226124.888
step 1000000  T=1964.175  best=220504.335
step 1200000  T=1711.213  best=203686.540
step 1400000  T=1490.830  best=197928.793
step 1600000  T=1298.829  best=190886.161
step 1800000  T=1131.556  best=178322.386
step 2000000  T=985.826  best=160373.811
step 2200000  T=858.863  best=149632.022
step 2400000  T=748.252  best=141604.054
step 2600000  T=651.887  best=133170.242
step 2800000  T=567.932  best=123683.736
step 3000000  T=494.789  best=115541.833
step 3200000  T=431.066  best=103518.537
step 3400000  T=375.550  best=92815.749
step 3600000  T=327.184  best=88331.469
step 3800000  T=285.047  best=81731.803
step 4000000  T=248.336  best=74970.152
step 4200000  T=216.354  best=72678.392
step 4400000  T=188.490  best=66952.105
step 4600000  T=164.215  best=62696.475
step 4800000  T=143.066  best=59971.300
step 5000000  T=124.641  best=55964.899
step 5200000  T=108.589  best=55709.966
step 5400000  T=94.604  best=52278.144
step 5600000  T=82.420  best=51559.900
step 5800000  T=71.805  best=50474.428
step 6000000  T=62.558  best=49642.115
step 6200000  T=54.501  best=49642.115
step 6400000  T=47.482  best=48864.477
step 6600000  T=41.367  best=48864.477
step 6800000  T=36.039  best=48831.353
step 7000000  T=31.398  best=48610.814
step 7200000  T=27.354  best=48564.898
step 7400000  T=23.831  best=48564.898
step 7600000  T=20.762  best=48559.145
step 7800000  T=18.088  best=48559.145
step 8000000  T=15.759  best=48503.060
step 8200000  T=13.729  best=48487.414
step 8400000  T=11.961  best=48487.414
step 8600000  T=10.421  best=48487.414
step 8800000  T=9.079  best=48487.414
step 9000000  T=7.909  best=48487.414
step 9200000  T=6.891  best=48487.414
step 9400000  T=6.003  best=48487.414
step 9600000  T=5.230  best=48487.414
step 9800000  T=4.557  best=48487.414
step 10000000  T=3.970  best=48487.414
step 10200000  T=3.458  best=48487.414
step 10400000  T=3.013  best=48487.414
step 10600000  T=2.625  best=48487.414
step 10800000  T=2.287  best=48487.414
step 11000000  T=1.992  best=48487.414
step 11200000  T=1.736  best=48487.414
step 11400000  T=1.512  best=48487.414
step 11600000  T=1.318  best=48487.414
step 11800000  T=1.148  best=48487.414
Best distance (km):    48487.414
Runtime (s):           131.978
Wrote route:           route150.dat
Wrote schedule:        an150.csv
done
