critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
make: Nothing to be done for 'default'.
Read 1207 cities from data file
Auto T0 (km): 38684.5  (probe moves=20000)
Initial distance (km): 732177.736605
step 0  T=38684.484  best=732177.737
step 200000  T=35003.168  best=732177.737
step 400000  T=31672.175  best=732177.737
step 600000  T=28658.168  best=732177.737
step 800000  T=25930.982  best=732177.737
step 1000000  T=23463.323  best=732177.737
step 1200000  T=21230.492  best=732177.737
step 1400000  T=19210.143  best=732177.737
step 1600000  T=17382.056  best=732177.737
step 1800000  T=15727.934  best=732177.737
step 2000000  T=14231.223  best=732177.737
step 2200000  T=12876.943  best=732177.737
step 2400000  T=11651.539  best=732177.737
step 2600000  T=10542.748  best=732177.737
step 2800000  T=9539.473  best=732177.737
step 3000000  T=8631.672  best=732177.737
step 3200000  T=7810.259  best=732177.737
step 3400000  T=7067.015  best=732177.737
step 3600000  T=6394.499  best=732177.737
step 3800000  T=5785.982  best=732177.737
step 4000000  T=5235.373  best=732177.737
step 4200000  T=4737.161  best=732177.737
step 4400000  T=4286.361  best=732177.737
step 4600000  T=3878.459  best=732177.737
step 4800000  T=3509.375  best=732177.737
step 5000000  T=3175.414  best=732177.737
step 5200000  T=2873.233  best=732177.737
step 5400000  T=2599.809  best=732177.737
step 5600000  T=2352.404  best=732177.737
step 5800000  T=2128.543  best=732177.737
step 6000000  T=1925.986  best=732177.737
step 6200000  T=1742.704  best=732177.737
step 6400000  T=1576.864  best=732177.737
step 6600000  T=1426.805  best=732177.737
step 6800000  T=1291.027  best=732177.737
step 7000000  T=1168.169  best=732177.737
step 7200000  T=1057.003  best=732177.737
step 7400000  T=956.416  best=732177.737
step 7600000  T=865.401  best=732177.737
step 7800000  T=783.047  best=732177.737
step 8000000  T=708.530  best=732177.737
step 8200000  T=641.105  best=732177.737
step 8400000  T=580.096  best=732177.737
step 8600000  T=524.892  best=732177.737
step 8800000  T=474.942  best=732177.737
step 9000000  T=429.745  best=732177.737
step 9200000  T=388.850  best=684873.490
step 9400000  T=351.846  best=658970.434
step 9600000  T=318.363  best=599213.904
step 9800000  T=288.067  best=551099.267
step 10000000  T=260.654  best=521185.025
step 10200000  T=235.849  best=482358.844
step 10400000  T=213.405  best=430641.492
step 10600000  T=193.097  best=403654.483
step 10800000  T=174.721  best=386403.301
step 11000000  T=158.094  best=354197.960
step 11200000  T=143.050  best=315753.714
step 11400000  T=129.437  best=296303.284
step 11600000  T=117.119  best=283039.129
step 11800000  T=105.974  best=261836.970
Best distance (km):    244007.028
Runtime (s):           1042.054
Wrote route:           route1k.dat
Wrote schedule:        an1k.csv
done
